question,intent
I want to return my product,return_policy
How can I return an item?,return_policy
What is your return policy?,return_policy
Can I return a product after a week?,return_policy
Is there a time limit for returning products?,return_policy
Do you offer free returns?,return_policy
How do I initiate a return?,return_policy
"I received a damaged item, can I return it?",return_policy
What's the return window?,return_policy
Can I return used items?,return_policy
I want to cancel my order,cancel_order
How can I cancel my purchase?,cancel_order
Can I cancel an order after payment?,cancel_order
Cancel the item I ordered yesterday,cancel_order
What is the cancellation process?,cancel_order
Can I get a refund after cancelling?,cancel_order
Is it possible to cancel an order before it ships?,cancel_order
I need to cancel my recent order,cancel_order
Please cancel my order,cancel_order
Cancel order #1234,cancel_order
When will my package arrive?,delivery_info
How long does delivery take?,delivery_info
Is one-day delivery available?,delivery_info
Do you deliver on weekends?,delivery_info
What's the estimated delivery time?,delivery_info
Can I track my delivery?,delivery_info
"My order is late, where is it?",delivery_info
Delivery is taking too long,delivery_info
Do you offer express shipping?,delivery_info
Will I get my package by Friday?,delivery_info
Why was my payment declined?,payment_issue
Payment not going through,payment_issue
I was charged twice,payment_issue
How do I update my payment method?,payment_issue
Can I pay with PayPal?,payment_issue
What payment options are available?,payment_issue
I need help with payment,payment_issue
Refund not received,payment_issue
I want to change my payment option,payment_issue
There's an issue with my card,payment_issue
Is this item in stock?,product_availability
When will this product be back?,product_availability
Can I preorder this item?,product_availability
Is this color available?,product_availability
Do you have more sizes?,product_availability
Will this product be restocked?,product_availability
Is this available in my area?,product_availability
Check availability for this item,product_availability
Notify me when in stock,product_availability
Can I buy this in store?,product_availability
I can't log in,account_issue
Forgot my password,account_issue
How do I change my email?,account_issue
My account is locked,account_issue
Need to update my address,account_issue
How can I delete my account?,account_issue
I want to update my profile,account_issue
Having trouble accessing my account,account_issue
Can't reset password,account_issue
Change phone number in my account,account_issue
When will I get my refund?,refund_query
How long does a refund take?,refund_query
Status of my refund,refund_query
Refund not processed yet,refund_query
I want a refund,refund_query
How do I request a refund?,refund_query
Where is my refund?,refund_query
Can I get a refund to a different account?,refund_query
I received a refund email but no money,refund_query
Refund requested last week,refund_query
The website is not loading,technical_issue
App keeps crashing,technical_issue
Having trouble placing an order,technical_issue
Can't add items to cart,technical_issue
Checkout not working,technical_issue
Page is not responsive,technical_issue
Getting an error message,technical_issue
The app is very slow,technical_issue
Something went wrong with your site,technical_issue
Can't complete my purchase,technical_issue
